finbert_pred_label,finbert_confidence,Text
neutral,0.9461983,"-- Thanks, Chris. Operator And the next question comes from the line of Chris Danely with Citi. Please proceed with your question."
neutral,0.9446703,"-- Yeah, memory will be quite significant, right? So, memory is a big portion of the two. Operator And the final question comes from the line of Chris Danely with Citi. Please proceed with your question."
neutral,0.94453853,"-- Operator, we have time for two more questions. Operator And the next question comes from the line of Stacy Rasgon with Bernstein Research. Please proceed with your question."
neutral,0.9443186,"-- Operator, that concludes our call. Thank you. Operator [Operator signoff] Duration: 63 minutes"
neutral,0.94415164,-- Thank you very much. Operator And the next question comes from the line of Stacy Rasgon with Bernstein Research. Please proceed with your question.
neutral,0.94412947,-- You can assume that the El Capitan is several hundred million.
neutral,0.94388413,-- And then the underlying assumptions for full year for Data Center?
neutral,0.9438784,"-- Thanks, Harsh. Operator And the next question comes from the line of Blayne Curtis with Jefferies. Please proceed with your question."
neutral,0.94315284,-- Thanks. Operator And the next question comes from the line of Tom O'Malley with Barclays. Please proceed with your question.
neutral,0.9431482,"-- Thanks, Aaron. Operator And the next question comes from the line of Toshiya Hari with Goldman Sachs. Please proceed with your question."
neutral,0.94281924,"-- Thanks, Harlan. Operator And the next question comes from the line of Vivek Arya with Bank of America Securities. Please proceed with your questions."
neutral,0.94275385,"-- Operator, we'll take two more questions from two callers, please. Operator Certainly. Our next question is coming from Chris Danely from Citi. Your line is now live."
neutral,0.9426581,"-- Operator, we'll take two more questions please. Operator Certainly. Our next question is coming from Hans Mosesmann from Rosenblatt Securities. Your line is now live."
neutral,0.9426504,"-- Operator, go ahead. Operator Certainly. Our next question is coming from Toshiya Hari from Goldman Sachs. Your line is now live."
neutral,0.94238234,"-- Operator, we'll take two more questions, please. Operator Certainly. Our next question is coming from Timothy Arcuri from UBS. Your line is now live."
neutral,0.94237846,"-- Thanks, Matt. Operator And the next question comes from the line of Vivek Arya with Bank of America Securities. Please proceed with your question."
neutral,0.9422489,-- Thank you. Operator And the next question comes from the line of Harlan Sur with JPMorgan. Please proceed with your question.
neutral,0.9417475,"-- Thanks, Tim. Operator And the next question comes from the line of Christopher Rolland with SIG. Please proceed with your question."
neutral,0.94163734,"-- Operator, I think we have time for two more callers, please. Operator OK. The next question comes from the line of Stacy Rasgon with Bernstein Research. Please proceed."
neutral,0.9416143,-- Sure. Operator Our next question is from Ross Seymore with Deutsche Bank. Please proceed with your question.
